media,country,week,articles
en_NZL_nzhera,GRC,2014-01-20,12.5
en_USA_wapost,PSE,2014-07-21,48.3333333333
en_PAK_newint,IDN,2014-03-03,1
fr_FRA_lepari,USA,2014-11-24,8.5
en_MYS_starmy,SRB,2015-06-08,0.5
en_GBR_dailyt,KEN,2015-01-05,2
en_AUS_austra,GBR,2014-11-24,1.5
en_GBR_dailyt,KOR,2014-12-01,4.5
es_ESP_catalu,ISR,2014-09-15,0.5
es_CHL_mercur,DNK,2015-02-23,1
en_MYS_starmy,IND,2015-01-12,8
es_BOL_larazo,RUS,2014-12-01,0.5
en_USA_nytime,CAF,2015-02-09,1
en_SGP_twoday,IRQ,2014-12-29,9.3333333333
en_GBR_dailyt,NOR,2014-08-11,1
es_ESP_catalu,ARG,2015-03-02,1
en_NGA_thiday,JAM,2014-04-28,1
en_PAK_newint,PSE,2014-09-01,1.5
en_GBR_dailyt,SYR,2014-10-06,8.8333333333
en_GBR_dailyt,IRL,2015-01-26,1
en_ZWE_chroni,MYS,2014-04-14,1
en_SGP_twoday,GBR,2014-10-06,26
en_SGP_twoday,ESP,2015-06-08,5.3333333333
en_NZL_nzhera,MKD,2015-05-04,13
fr_CAN_jmontr,PAK,2014-06-30,1
en_NZL_nzhera,SLV,2015-02-02,4.5
en_JPN_jatime,DEU,2014-04-14,3
es_MEX_jormex,PAK,2015-04-06,0.3333333333
fr_FRA_lmonde,SWE,2015-03-09,2
es_MEX_jormex,IRQ,2015-05-18,2
fr_DZA_elwata,PSE,2014-08-04,2.5
en_CHN_chinad,VEN,2014-01-06,1
es_ESP_catalu,ATG,2015-03-16,1
en_MYS_starmy,EGY,2015-06-08,19.5
es_BOL_patria,SYR,2014-08-25,4.5
en_PAK_newint,PSE,2015-01-19,1.5
en_PAK_newint,MAR,2014-11-17,1
es_CHL_mercur,UKR,2014-07-07,3.75
fr_DZA_xpress,USA,2014-08-11,2.6666666667
en_CAN_starca,USA,2014-12-01,8.3333333333
en_SGP_twoday,ZAF,2015-03-16,1
en_GBR_guardi,AUS,2015-02-16,15.5
en_MYS_starmy,IRN,2014-12-08,9.8333333333
es_MEX_univer,TUN,2014-12-29,2
en_IND_hindti,AFG,2014-06-30,4
en_GBR_guardi,VAT,2014-11-24,10
es_VEN_univer,SAU,2014-09-01,1
es_MEX_jormex,ARG,2015-03-02,1
en_GBR_dailyt,FRA,2014-01-20,23.5
en_CAN_starca,HTI,2014-01-13,1
en_CHN_mopost,BEL,2015-03-02,0.3333333333
en_MYS_starmy,AUS,2014-12-01,5
fr_DZA_xpress,QAT,2014-04-14,1
en_PAK_newint,ITA,2014-03-17,2
en_CHN_chinad,FRA,2014-11-24,0.5
fr_FRA_lmonde,ITA,2014-03-10,3
es_ESP_catalu,RUS,2014-10-06,2
en_GBR_dailyt,PSE,2014-10-06,2
en_GBR_guardi,SYR,2014-07-21,2
en_IND_tindia,RUS,2014-10-27,4
es_ARG_nacion,NGA,2014-04-14,4
en_GBR_guardi,PHL,2015-05-11,5.5
fr_FRA_lmonde,PAK,2015-04-27,1
es_BOL_larazo,ESP,2014-12-08,1
es_MEX_univer,BRA,2015-06-08,1
en_PAK_newint,PRK,2014-11-10,0.5
en_AUS_austra,UKR,2014-10-20,2.5
en_GBR_guardi,SOM,2014-12-01,2
en_MYS_starmy,BEL,2014-09-01,0.3333333333
fr_FRA_lepari,USA,2014-07-07,4
es_MEX_univer,QAT,2014-08-25,1
en_GBR_dailyt,ZMB,2015-01-19,5
en_JPN_jatime,MEX,2014-11-24,0.5
en_NZL_nzhera,CHL,2015-03-02,9.5
es_ESP_catalu,VEN,2015-01-05,1
es_ARG_nacion,UKR,2015-06-01,2.8333333333
es_CHL_tercer,VEN,2014-04-07,24.3333333333
es_VEN_univer,POL,2015-06-22,2.3333333333
en_NZL_nzhera,GUY,2015-02-23,2
fr_DZA_elwata,UKR,2014-03-03,1
en_GBR_dailyt,USA,2014-07-28,47.75
en_MYS_starmy,FRA,2014-09-08,5.1666666667
en_NGA_thiday,ZMB,2014-08-04,1
en_USA_nytime,ITA,2014-01-20,5
fr_FRA_lmonde,KOR,2015-06-08,3.5
en_ZWE_chroni,IRQ,2014-06-30,1
en_AUS_austra,SVN,2014-10-06,1
en_GBR_dailyt,ALB,2014-09-22,0.5
es_MEX_univer,LBY,2015-05-25,2
en_MYS_starmy,ZMB,2014-09-08,1
en_IND_hindti,BGD,2015-04-20,1
fr_DZA_xpress,UKR,2014-04-07,3
en_PAK_newint,MAR,2014-02-10,0.5
en_SGP_twoday,SEN,2014-07-28,1
en_CHN_chinad,IDN,2014-09-15,1
es_CHL_tercer,ZMB,2014-10-27,1
en_NZL_nzhera,DNK,2014-12-08,0.8333333333
en_CHN_chinad,CRI,2015-04-13,1
es_MEX_univer,GTM,2015-06-22,1
es_CHL_tercer,JOR,2014-12-15,1
en_CAN_starca,IND,2014-12-01,5
en_NZL_nzhera,ARM,2015-06-22,10
en_SGP_twoday,UKR,2015-02-16,85.5
en_NZL_nzhera,OMN,2015-06-08,2
en_SGP_twoday,TUR,2014-11-10,9.5
en_USA_wapost,CAF,2014-03-03,1
es_MEX_univer,POL,2015-01-12,1
fr_CAN_jmontr,CHL,2014-08-18,1
en_CHN_mopost,HUN,2014-02-17,1
en_MLT_tmalta,POL,2014-06-23,1
en_NZL_nzhera,PRT,2015-03-16,1
fr_DZA_xpress,SSD,2015-03-02,0.5
es_CHL_tercer,SAU,2014-12-01,1
en_NZL_nzhera,HKG,2014-12-01,10.5
en_GBR_guardi,CHL,2015-04-27,2
en_SGP_twoday,ZAF,2015-06-15,14
es_ESP_catalu,QAT,2015-03-16,1
fr_BEL_lesoir,BRA,2015-01-05,2
es_VEN_univer,NIC,2015-05-25,1.5
fr_FRA_lmonde,QAT,2014-01-20,0.5
en_CAN_starca,IRQ,2015-04-20,2
en_GBR_dailyt,VAT,2014-07-07,5
en_SGP_twoday,PRT,2015-06-15,0.5
en_GBR_guardi,CUB,2014-07-14,0.8333333333
en_GBR_guardi,USA,2014-03-31,91.9166666667
en_GBR_guardi,CHE,2014-12-01,1
es_ESP_elpais,PAK,2014-08-11,2
es_MEX_jormex,IRN,2014-09-22,1.25
en_PAK_newint,IRQ,2014-10-13,2.5
fr_FRA_lepari,ESP,2014-12-22,2
en_CAN_starca,AUS,2014-03-17,3.3333333333
es_MEX_univer,DEU,2015-01-26,3
en_USA_nytime,YEM,2015-04-06,15.3333333333
en_SGP_twoday,DEU,2014-05-19,0.5
es_MEX_univer,NIC,2015-04-13,0.5
es_ESP_elpais,BFA,2015-05-25,1
en_CAN_starca,NGA,2014-12-15,3
fr_FRA_lepari,ITA,2015-05-25,1
en_GBR_dailyt,THA,2014-08-11,2
en_SGP_twoday,SYR,2015-02-09,18.5
en_MYS_starmy,TWN,2014-10-06,0.5
en_GBR_guardi,ITA,2015-04-27,7
en_MLT_tmalta,JPN,2014-08-04,1
en_AUS_hersun,NRU,2014-02-03,2
