id_media,week,id_country,article_nb
en_NZL_nzhera_int,2015-03-16,PRT,1
fr_DZA_xpress_int,2015-03-02,SSD,0.5
es_CHL_tercer_int,2014-12-01,SAU,1
en_NZL_nzhera_int,2014-12-01,HKG,10.5
en_GBR_guardi_int,2015-04-27,CHL,2
en_SGP_twoday_int,2015-06-15,ZAF,14
es_ESP_catalu_int,2015-03-16,QAT,1
fr_BEL_lesoir_int,2015-01-05,BRA,2
es_VEN_univer_int,2015-05-25,NIC,1.5
fr_FRA_lmonde_int,2014-01-20,QAT,0.5
en_CAN_starca_int,2015-04-20,IRQ,2
en_GBR_dailyt_int,2014-07-07,VAT,5
en_SGP_twoday_int,2015-06-15,PRT,0.5
en_GBR_guardi_int,2014-07-14,CUB,0.8333333333
en_GBR_guardi_int,2014-03-31,USA,91.9166666667
en_GBR_guardi_int,2014-12-01,CHE,1
es_ESP_elpais_int,2014-08-11,PAK,2
es_MEX_jormex_int,2014-09-22,IRN,1.25
en_PAK_newint_int,2014-10-13,IRQ,2.5
fr_FRA_lepari_int,2014-12-22,ESP,2
en_CAN_starca_int,2014-03-17,AUS,3.3333333333
es_MEX_univer_int,2015-01-26,DEU,3
en_USA_nytime_int,2015-04-06,YEM,15.3333333333
en_SGP_twoday_int,2014-05-19,DEU,0.5
es_MEX_univer_int,2015-04-13,NIC,0.5
es_ESP_elpais_int,2015-05-25,BFA,1
en_CAN_starca_int,2014-12-15,NGA,3
fr_FRA_lepari_int,2015-05-25,ITA,1
en_GBR_dailyt_int,2014-08-11,THA,2
en_SGP_twoday_int,2015-02-09,SYR,18.5
en_MYS_starmy_int,2014-10-06,TWN,0.5
en_GBR_guardi_int,2015-04-27,ITA,7
en_MLT_tmalta_int,2014-08-04,JPN,1
en_AUS_hersun_int,2014-02-03,NRU,2
en_USA_wapost_int,2015-02-16,RUS,3.5
en_IND_hindti_int,2014-06-09,JPN,2
en_GBR_dailyt_int,2014-09-29,USA,59
en_CHN_chinad_int,2014-01-27,ECU,1
es_VEN_univer_int,2015-03-30,ECU,2.5
en_CAN_starca_int,2015-05-04,DEU,2.5
es_BOL_patria_int,2014-08-25,CHL,2
